declarationDate,disasterName,stateCode,stateName,declarationRequestDate,Days Diff,Quarter
2024-06-12T00:00:00.000Z,ROSE FIRE,AZ,Arizona,2024-06-12T00:00:00.000Z,0,2
2024-06-14T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",OK,Oklahoma,2024-06-04T00:00:00.000Z,10,2
2024-06-17T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",FL,Florida,2024-05-22T00:00:00.000Z,28,2
2024-06-17T00:00:00.000Z,"SEVERE STORMS, FLOODING, AND LANDSLIDES",HI,Hawaii,2024-05-31T00:00:00.000Z,18,2
2024-06-17T00:00:00.000Z,"SEVERE STORMS, TORNADOES, AND FLOODING",TN,Tennessee,2024-06-07T00:00:00.000Z,10,2
2024-06-17T00:00:00.000Z,SOUTH FORK FIRE,NM,New Mexico,2024-06-17T00:00:00.000Z,0,2
2024-06-18T00:00:00.000Z,SALT FIRE,NM,New Mexico,2024-06-17T00:00:00.000Z,1,2
2024-06-20T00:00:00.000Z,"SOUTH FORK FIRE, SALT FIRE, AND FLOODING",NM,New Mexico,2024-06-19T00:00:00.000Z,1,2
2024-06-23T00:00:00.000Z,SLIDE RANCH FIRE,WA,Washington,2024-06-22T00:00:00.000Z,1,2
2024-06-24T00:00:00.000Z,"SEVERE STORMS, FLOODING, STRAIGHT-LINE WINDS, AND TORNADOES",IA,Iowa,2024-06-23T00:00:00.000Z,1,2
2024-06-25T00:00:00.000Z,DARLENE 3 FIRE,OR,Oregon,2024-06-25T00:00:00.000Z,0,2
2024-06-28T00:00:00.000Z,SEVERE STORMS AND FLOODING,MN,Minnesota,2024-06-27T00:00:00.000Z,1,2
2024-06-28T00:00:00.000Z,BOULDER VIEW FIRE,AZ,Arizona,2024-06-28T00:00:00.000Z,0,2
2024-07-02T00:00:00.000Z,THOMPSON FIRE,CA,California,2024-07-02T00:00:00.000Z,0,3
2024-07-05T00:00:00.000Z,FRENCH FIRE,CA,California,2024-07-04T00:00:00.000Z,1,3
2024-07-07T00:00:00.000Z,SILVER KING FIRE,UT,Utah,2024-07-07T00:00:00.000Z,0,3
2024-07-09T00:00:00.000Z,HURRICANE BERYL,TX,Texas,2024-07-09T00:00:00.000Z,0,3
2024-07-09T00:00:00.000Z,SHAKE FIRE,AZ,Arizona,2024-07-09T00:00:00.000Z,0,3
2024-07-10T00:00:00.000Z,SEVERE WINTER STORM AND FLOODING,NH,New Hampshire,2024-06-10T00:00:00.000Z,30,3
2024-07-11T00:00:00.000Z,LARCH CREEK FIRE,OR,Oregon,2024-07-11T00:00:00.000Z,0,3
2024-07-12T00:00:00.000Z,HORSE GULCH FIRE,MT,Montana,2024-07-12T00:00:00.000Z,0,3
2024-07-13T00:00:00.000Z,WATCH FIRE,AZ,Arizona,2024-07-13T00:00:00.000Z,0,3
2024-07-15T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, TORNADOES, AND FLOODING",KS,Kansas,2024-06-24T00:00:00.000Z,21,3
2024-07-16T00:00:00.000Z,SPRING VALLEY FIRE,NV,Nevada,2024-07-16T00:00:00.000Z,0,3
